Frame ID; Time; Collision Count; Red Mushroom Count; Brown Mushroom Count; RL Position X; RL Position Y; RL Position Z; Game Position X; Game Position Y; Game Position Z; Rotation X; Rotation Y; Rotation Z; Navigation State
728;00:00:01;0;0;0;0,1859394;0,822305;-0,1604542;2,043451;0,009999931;-0,2136628;0,2009947;0,7400674;-0,09775066;W
729;00:00:02;0;0;0;0,186118;0,8224382;-0,1603719;2,043451;0,009999931;-0,2136628;0,2010612;0,7400869;-0,09785999;W
730;00:00:03;0;0;0;0,1861042;0,822435;-0,1603982;2,043451;0,009999931;-0,2136628;0,2010365;0,7401224;-0,09796111;W
731;00:00:04;0;0;0;0,1858317;0,8223687;-0,1602833;2,043451;0,009999931;-0,2136628;0,2010921;0,7401012;-0,09800655;W
732;00:00:05;0;0;0;0,1858131;0,8223812;-0,1603053;2,043451;0,009999931;-0,2136628;0,2011696;0,7400962;-0,09825426;W
733;00:00:06;0;0;0;0,1858021;0,8223707;-0,1603132;2,043451;0,009999931;-0,2136628;0,2012235;0,7401505;-0,09838652;W
734;00:00:07;0;0;0;0,1855971;0,8222178;-0,1604076;2,043451;0,009999931;-0,2136628;0,2012444;0,7400876;-0,0985514;W
735;00:00:08;0;0;0;0,1858071;0,8223527;-0,160372;2,043451;0,009999931;-0,2136628;0,2012588;0,7400404;-0,09874306;W
736;00:00:10;0;0;0;0,185794;0,8223458;-0,1603912;2,043451;0,009999931;-0,2136628;0,2011559;0,7400466;-0,09880295;W
737;00:00:11;0;0;0;0,1857303;0,8220757;-0,1604377;2,043451;0,009999931;-0,2136628;0,2012001;0,7399819;-0,09887069;W
738;00:00:12;0;0;0;0,1859499;0,8222211;-0,1603526;2,043451;0,009999931;-0,2136628;0,2011319;0,7399405;-0,09890406;W
739;00:00:13;0;0;0;0,1859401;0,8222161;-0,1603284;2,043451;0,009999931;-0,2136628;0,2011389;0,7400477;-0,09882196;W
740;00:00:14;0;0;0;0,1859406;0,8221641;-0,1602415;2,043451;0,009999931;-0,2136628;0,2012922;0,7400478;-0,09873714;W
741;00:00:15;0;0;0;0,1859461;0,8221621;-0,1602657;2,043451;0,009999931;-0,2136628;0,2013739;0,740043;-0,09875685;W
742;00:00:16;0;0;0;0,1859425;0,8221712;-0,1602739;2,043451;0,009999931;-0,2136628;0,2015393;0,7400744;-0,09885843;W
743;00:00:17;0;0;0;0,185933;0,8221219;-0,1602024;2,043451;0,009999931;-0,2136628;0,201635;0,7401264;-0,09900878;W
744;00:00:19;0;0;0;0,1859225;0,8221111;-0,160212;2,043451;0,009999931;-0,2136628;0,2017292;0,7402087;-0,09913284;W
745;00:00:20;0;0;0;0,1859101;0,822109;-0,1602387;2,043451;0,009999931;-0,2136628;0,201719;0,7403275;-0,09943364;W
746;00:00:21;0;0;0;0,1860911;0,8220947;-0,1603529;2,043451;0,009999931;-0,2136628;0,201622;0,7404231;-0,09967096;W
747;00:00:22;0;0;0;0,1860684;0,8220925;-0,1604011;2,043451;0,009999931;-0,2136628;0,2014717;0,7405211;-0,09995623;W
748;00:00:23;0;0;0;0,1860365;0,8220963;-0,1604492;2,043451;0,009999931;-0,2136628;0,2014608;0,7405985;-0,1002161;W
749;00:00:24;0;0;0;0,1859497;0,8220102;-0,1605656;2,043451;0,009999931;-0,2136628;0,2014931;0,7407017;-0,1004427;W
750;00:00:25;0;0;0;0,185922;0,8219897;-0,1606081;2,043451;0,009999931;-0,2136628;0,2015312;0,7408848;-0,1005279;W
751;00:00:26;0;0;0;0,185908;0,821984;-0,1606496;2,043451;0,009999931;-0,2136628;0,2018654;0,7410799;-0,1006646;W
752;00:00:27;0;0;0;0,1858388;0,8218877;-0,1607521;2,043451;0,009999931;-0,2136628;0,2021123;0,7412847;-0,1009669;W
753;00:00:29;0;0;0;0,1858312;0,8218263;-0,1608187;2,043451;0,009999931;-0,2136628;0,2023998;0,7415152;-0,101376;W
754;00:00:30;0;0;0;0,1858321;0,8217365;-0,1608963;2,043451;0,009999931;-0,2136628;0,2028172;0,7417186;-0,1019632;W
755;00:00:31;0;0;0;0,1855654;0,8215266;-0,1610022;2,043451;0,009999931;-0,2136628;0,203508;0,7418785;-0,1028512;W
756;00:00:32;0;0;0;0,1856002;0,8213633;-0,1610856;2,043451;0,009999931;-0,2136628;0,2042349;0,7421724;-0,1039823;W
