Frame ID; Time; Collision Count; Red Mushroom Count; Brown Mushroom Count; RL Position X; RL Position Y; RL Position Z; Game Position X; Game Position Y; Game Position Z; Rotation X; Rotation Y; Rotation Z; Navigation State
811;00:00:01;0;0;0;0,05817318;0,8122932;-0,1380914;1,911751;0,009999931;-0,162002;0,142781;0,7611299;-0,1327314;W
812;00:00:02;0;0;0;0,05820751;0,8123379;-0,1379562;1,911751;0,009999931;-0,162002;0,1428442;0,7610831;-0,132761;W
813;00:00:03;0;0;0;0,05824971;0,8123475;-0,1379281;1,911751;0,009999931;-0,162002;0,14293;0,76106;-0,1327697;W
814;00:00:04;0;0;0;0,05808115;0,8123187;-0,1379472;1,911751;0,009999931;-0,162002;0,1428832;0,7610492;-0,1327133;W
815;00:00:05;0;0;0;0,05816746;0,8123741;-0,1378124;1,911751;0,009999931;-0,162002;0,1430321;0,7610306;-0,1326488;W
816;00:00:06;0;0;0;0,05820465;0,8123879;-0,1377508;1,911751;0,009999931;-0,162002;0,1430824;0,7610002;-0,132714;W
817;00:00:07;0;0;0;0,05819988;0,8123408;-0,1377207;1,911751;0,009999931;-0,162002;0,1431484;0,7608656;-0,1326794;W
818;00:00:08;0;0;0;0,05844498;0,8124254;-0,1378229;1,911751;0,009999931;-0,162002;0,1432415;0,7608239;-0,1326845;W
819;00:00:10;0;0;0;0,0584743;0,8124381;-0,1377915;1,911751;0,009999931;-0,162002;0,1432922;0,7607709;-0,1327129;W
820;00:00:11;0;0;0;0,05839014;0,8123834;-0,1377832;1,911751;0,009999931;-0,162002;0,143245;0,76074;-0,1325161;W
821;00:00:12;0;0;0;0,05853987;0,8124486;-0,1377714;1,911751;0,009999931;-0,162002;0,1432252;0,7607571;-0,13254;W
822;00:00:13;0;0;0;0,058532;0,812437;-0,1377425;1,911751;0,009999931;-0,162002;0,1432151;0,7607889;-0,1324368;W
823;00:00:14;0;0;0;0,05855489;0,8123925;-0,1377169;1,911751;0,009999931;-0,162002;0,1431936;0,7608034;-0,1325608;W
824;00:00:15;0;0;0;0,05853963;0,8123761;-0,1376113;1,911751;0,009999931;-0,162002;0,1432276;0,7608145;-0,132401;W
825;00:00:16;0;0;0;0,05854464;0,8123834;-0,1375837;1,911751;0,009999931;-0,162002;0,1433325;0,7607741;-0,1324454;W
826;00:00:17;0;0;0;0,05861545;0,8123317;-0,1375494;1,911751;0,009999931;-0,162002;0,1434066;0,7607276;-0,1324005;W
827;00:00:19;0;0;0;0,05874991;0,8123699;-0,1375851;1,911751;0,009999931;-0,162002;0,1433972;0,760754;-0,1323729;W
828;00:00:20;0;0;0;0,05876374;0,8123595;-0,1375748;1,911751;0,009999931;-0,162002;0,1432965;0,7607573;-0,1322915;W
829;00:00:21;0;0;0;0,05861259;0,8123253;-0,1376138;1,911751;0,009999931;-0,162002;0,1432369;0,7607445;-0,1322144;W
