Frame ID; Time; Collision Count; Red Mushroom Count; Brown Mushroom Count; RL Position X; RL Position Y; RL Position Z; Game Position X; Game Position Y; Game Position Z; Navigation State
1;00:00:02;0;0;0;0;0;0;0;0;0;nothing
2;00:00:04;0;0;0;0;0;0;0;0;0;nothing
3;00:00:14;0;0;0;0;0;0;0;0;0;nothing
4;00:00:24;0;0;0;-2,016177;1,125341;0,06718725;0;0;0;nothing
5;00:00:25;0;0;0;-2,012843;1,12491;0,06672108;0;0;0;nothing
6;00:00:26;0;0;0;-2,008887;1,122944;0,06647342;0;0;0;nothing
7;00:00:26;0;0;0;-2,008304;1,122573;0,06643015;0;0;0;nothing
8;00:00:28;0;0;0;-2,007713;1,122104;0,06643271;0;0;0;nothing
9;00:00:28;0;0;0;-2,007144;1,121722;0,06639403;0;0;0;nothing
10;00:00:30;0;0;0;-2,006654;1,121351;0,06628859;0;0;0;nothing
11;00:00:31;0;0;0;-2,006341;1,121126;0,06598699;0;0;0;nothing
12;00:00:32;0;0;0;-2,006129;1,120981;0,06560254;0;0;0;nothing
13;00:00:33;0;0;0;-2,006204;1,12095;0,06503999;0;0;0;nothing
14;00:00:34;0;0;0;-2,006269;1,120885;0,06451476;0;0;0;nothing
15;00:00:35;0;0;0;-2,006409;1,120821;0,06400084;0;0;0;nothing
16;00:00:36;0;0;0;-2,006508;1,120714;0,06365329;0;0;0;nothing
17;00:00:37;0;0;0;-2,006536;1,120695;0,06339413;0;0;0;nothing
18;00:00:39;0;0;0;-2,006551;1,120746;0,06320113;0;0;0;nothing
19;00:00:40;0;0;0;-2,006556;1,120918;0,0630343;0;0;0;nothing
20;00:00:41;0;0;0;-2,00665;1,120938;0,06289124;0;0;0;nothing
21;00:00:42;0;0;0;-2,006717;1,121073;0,06261748;0;0;0;nothing
22;00:00:43;0;0;0;-2,006902;1,121199;0,06237847;0;0;0;nothing
23;00:00:44;0;0;0;-2,007149;1,121349;0,06209582;0;0;0;nothing
24;00:00:45;0;0;0;-2,00752;1,121524;0,06175721;0;0;0;nothing
25;00:00:46;0;0;0;-2,007881;1,121567;0,06137687;0;0;0;nothing
26;00:00:47;0;0;0;-2,008257;1,121663;0,06093168;0;0;0;nothing
27;00:00:49;0;0;0;-2,008601;1,121733;0,0604915;0;0;0;nothing
28;00:00:50;0;0;0;-2,009032;1,12173;0,06015128;0;0;0;nothing
29;00:00:51;0;0;0;-2,009369;1,121819;0,05979723;0;0;0;nothing
30;00:00:52;0;0;0;-2,009739;1,121812;0,05952942;0;0;0;nothing
31;00:00:53;0;0;0;-2,010081;1,121671;0,05930394;0;0;0;nothing
32;00:00:54;0;0;0;-2,010448;1,12143;0,05906141;0;0;0;nothing
33;00:00:55;0;0;0;-2,010848;1,121077;0,05900836;0;0;0;nothing
34;00:00:56;0;0;0;-2,019174;1,120209;0,07369137;0;0;0;nothing
35;00:00:58;0;0;0;-2,019707;1,120136;0,07370663;0;0;0;nothing
36;00:00:59;0;0;0;-2,017044;1,12044;0,07449043;0;0;0;nothing
